resample,F1-Score,Accuracy,Sensitivity,AUC
ENN,0.91640421,0.8409363921361812,0.343046357615894,0.5976227713295194
ENN,0.91640421,0.7757170900354516,0.5165562913907285,0.6490679347653546
ENN,0.91640421,0.702528493158712,0.6344370860927152,0.669252939019512
ENN,0.91640421,0.974392780756497,0.014569536423841,0.5053372610211248
ENN,0.91640421,0.9358354575019776,0.4966887417218543,0.7212290784352321
ENN,0.91640421,0.9170841756760716,0.5509933774834437,0.7381794548011658
ENN,0.91640421,0.8052210600334008,0.7986754966887417,0.8020223121027601
ENN,0.91640421,0.9748029650464388,0.309933774834437,0.6498883878966049
ENN,0.91640421,0.8144502065570889,0.7377483443708609,0.7769668136044142
ENN,0.91640421,0.8140400222671472,0.7377483443708609,0.7767570820607901
ENN,0.91640421,0.8533591163458439,0.6450331125827815,0.7515523904237013
ENN,0.91640421,0.8983621927280185,0.3086092715231788,0.6101561458287035
TL,0.91640421,0.8443643608449797,0.3125827814569536,0.5844882986862908
TL,0.91640421,0.7768304473938649,0.5033112582781457,0.6431644977872032
TL,0.91640421,0.7040520348070669,0.6291390728476821,0.667442858571492
TL,0.91640421,0.9778793472210014,0.0,0.5
TL,0.91640421,0.9411678532712198,0.4410596026490066,0.6967702135967948
TL,0.91640421,0.920336351117752,0.4860927152317881,0.7081260556024712
TL,0.91640421,0.8096451905892005,0.7920529801324503,0.8010480624535693
TL,0.91640421,0.9779086460988544,0.1337748344370861,0.5653893347640848
TL,0.91640421,0.8147138964577657,0.7377483443708609,0.7771016410253153
TL,0.91640421,0.8140400222671472,0.7377483443708609,0.7767570820607901
TL,0.91640421,0.8514839881632533,0.6503311258278146,0.7531827009771863
TL,0.91640421,0.9778793472210014,0.0,0.5
NONE,0.95550074,0.915842507930584,0.4074074074074074,0.6695493839038192
NONE,0.95550074,0.8525844373950364,0.6049382716049383,0.7326211465779167
NONE,0.95550074,0.804254525097966,0.654320987654321,0.7316246077390327
NONE,0.95550074,0.9695838775891024,0.0123456790123456,0.505884211451526
NONE,0.95550074,0.9544691173726442,0.3888888888888889,0.6804940884698437
NONE,0.95550074,0.9275984325433848,0.5925925925925926,0.7653168850975278
NONE,0.95550074,0.8023885053181564,0.6604938271604939,0.7336527246250805
NONE,0.95550074,0.9699570815450644,0.1049382716049382,0.5509297861776856
NONE,0.95550074,0.748833737637619,0.6234567901234568,0.6880993783213014
NONE,0.95550074,0.743049076320209,0.6358024691358025,0.6910973092263581
NONE,0.95550074,0.4103377495801455,0.7098765432098766,0.555438560232993
NONE,0.95550074,0.9697704795670834,0.0,0.5
ROS,0.95550074,0.8253405486098153,0.5925925925925926,0.7125941604486918
ROS,0.95550074,0.8598619145362941,0.6481481481481481,0.7573047840990885
ROS,0.95550074,0.8016420974062325,0.6666666666666666,0.7362580976204219
ROS,0.95550074,0.8382160850905019,0.7469135802469136,0.7939878657440071
ROS,0.95550074,0.9242395969397276,0.5864197530864198,0.7605949063681089
ROS,0.95550074,0.9326366859488712,0.5925925925925926,0.76791453758935
ROS,0.95550074,0.8072401567456615,0.6666666666666666,0.739144378166891
ROS,0.95550074,0.9192013435342414,0.7407407407407407,0.8327525139147229
ROS,0.95550074,0.7270013062138458,0.6481481481481481,0.6888037257962215
ROS,0.95550074,0.7271879081918269,0.6481481481481481,0.6888999351477705
ROS,0.95550074,0.3972756111214779,0.7098765432098766,0.5487039056245651
ROS,0.95550074,0.7212166448964359,0.6234567901234568,0.6738603942920537
SMOTE,0.95550074,0.9068856129874976,0.3580246913580246,0.6410096518171691
SMOTE,0.95550074,0.9066990110095168,0.345679012345679,0.6349330216625452
SMOTE,0.95550074,0.7885799589475648,0.6728395061728395,0.7325136534135315
SMOTE,0.95550074,0.8682590035454376,0.6234567901234568,0.7496733633126424
SMOTE,0.95550074,0.9464452323194624,0.2777777777777778,0.6225332991255638
SMOTE,0.95550074,0.910804254525098,0.3950617283950617,0.6609713106089221
SMOTE,0.95550074,0.7979100578466132,0.6419753086419753,0.7223730689832928
SMOTE,0.95550074,0.9279716364993468,0.691358024691358,0.813352670225225
SMOTE,0.95550074,0.759843254338496,0.6111111111111112,0.6877953092596156
SMOTE,0.95550074,0.759843254338496,0.6111111111111112,0.6877953092596156
SMOTE,0.95550074,0.424146295950737,0.7037037037037037,0.5595678418460792
SMOTE,0.95550074,0.7299869378615413,0.6111111111111112,0.6724018130117804
ADA,0.95550074,0.9128568762828886,0.3209876543209876,0.6261470886575115
ADA,0.95550074,0.8917708527710394,0.2407407407407407,0.5764026967124908
ADA,0.95550074,0.8027617092741183,0.6851851851851852,0.7458059849343281
ADA,0.95550074,0.8591155066243702,0.6234567901234568,0.744959105086743
ADA,0.95550074,0.9507370778130247,0.2839506172839506,0.6277363246127277
